Longitude,Latitude
53.234425,-0.537848
53.2344,-0.537881
51.370033,-0.402506
51.370166,-0.402731
53.235244,-0.540092
53.235091,-0.539906
53.235088,-0.539906
53.235322,-0.540887
53.234755,-0.539814
51.370238,-0.402801
53.235325,-0.540648
53.013461,-3.277112
53.01348,-3.277078
53.234591,-0.54067
53.234616,-0.540684
53.234222,-0.540123
53.234355,-0.540228
53.234355,-0.541878
53.234494,-0.542192
53.234258,-0.540056
53.234091,-0.540384
53.23418,-0.541112
53.234255,-0.541378
53.234352,-0.541412
53.234486,-0.542187
53.234563,-0.542323
53.234352,-0.540214
53.234202,-0.540189
53.234133,-0.540425
53.234172,-0.541114
53.234247,-0.541387
37.92162,-2.993366
37.92129,-2.993034
37.921569,-2.993001
37.920411,-2.994164
37.921097,-2.992809
53.235583,-0.542231
53.235822,-0.541812
53.23563,-0.540806
53.235372,-0.539903
53.235247,-0.539717
53.235186,-0.539723
53.234858,-0.539712
53.234458,-0.539842
53.235841,-0.542067
53.23585,-0.542112
53.234622,-0.539678
53.235105,-0.539648
53.234863,-0.539714
53.235844,-0.5421
53.235736,-0.541364
53.234863,-0.53695
53.235038,-0.537037
53.234072,-0.536812
53.234325,-0.537809
53.234308,-0.537828
53.234205,-0.538003
53.2342,-0.537995
53.235691,-0.538575
43.775381,11.253549
43.775381,11.253549
53.339592,-6.271584
36.048345,14.189722
37.797729,-0.806754
50.5238,6.093516
41.912375,12.487366
53.345658,-6.27094
55.236922,-6.513917
52.681572,0.855753
38.69875,-9.418553
38.697427,-9.418506
45.322394,0.586009
45.322394,0.586009
35.89267,14.517789
42.582222,1.5175
52.387155,4.541355
48.602126,-2.818252
46.547291,4.795017
46.547291,4.795017
49.46185,6.014633
49.46185,6.014633
38.192424,15.554748
39.725283,-0.187781
37.884252,-4.779709
50.087326,14.420864
45.465452,9.186801
45.993019,0.320544
51.787953,-2.845705
51.801197,-2.848527
45.982497,0.306972
45.982177,0.30423
45.982513,0.305741
45.982891,0.306588
51.787953,-2.845705
36.552784,29.420818
36.552784,29.420818
36.552784,29.420818
36.552784,29.420818
45.981613,0.303258
38.016744,12.502175
51.917869,4.52524
51.917869,4.52524
48.854538,2.370555
53.528047,10.339897
46.872837,6.37398
41.902318,12.495635
41.902325,12.49602
41.902308,12.496266
36.664597,29.106967
53.956817,-1.093375
53.96188,-1.091412
53.962397,-1.091369
53.963578,-1.086133
53.963742,-1.084814
44.489686,11.343686
